"Date","Price","Open","High","Low","Vol.","Change %"
"Aug 30, 2020","3,426.96","3,509.73","3,588.11","3,349.63","-","-2.31%"
"Aug 23, 2020","3,508.01","3,418.09","3,509.23","3,413.13","-","3.26%"
"Aug 16, 2020","3,397.16","3,380.86","3,399.96","3,354.69","-","0.72%"
"Aug 09, 2020","3,372.85","3,356.04","3,387.89","3,326.44","-","0.64%"
"Aug 02, 2020","3,351.28","3,288.26","3,352.54","3,284.53","-","2.45%"
"Jul 26, 2020","3,271.12","3,219.84","3,272.17","3,204.13","-","1.73%"
"Jul 19, 2020","3,215.63","3,224.29","3,279.99","3,200.05","-","-0.28%"
"Jul 12, 2020","3,224.73","3,205.08","3,238.28","3,127.66","-","1.25%"
"Jul 05, 2020","3,185.04","3,155.29","3,186.82","3,115.70","-","1.76%"
"Jun 28, 2020","3,130.01","3,018.59","3,165.81","2,999.74","-","4.02%"
"Jun 21, 2020","3,009.05","3,094.42","3,154.90","3,004.63","-","-2.86%"
"Jun 14, 2020","3,097.74","2,993.76","3,155.53","2,965.66","-","1.86%"
"Jun 07, 2020","3,041.31","3,199.92","3,233.13","2,984.47","-","-4.78%"
"May 31, 2020","3,193.93","3,038.78","3,211.72","3,031.54","-","4.91%"
"May 24, 2020","3,044.31","3,004.08","3,068.67","2,969.75","-","3.01%"
"May 17, 2020","2,955.45","2,913.86","2,980.29","2,913.86","-","3.20%"
"May 10, 2020","2,863.70","2,915.46","2,945.82","2,766.64","-","-2.26%"
"May 03, 2020","2,929.80","2,815.01","2,932.16","2,797.85","-","3.50%"
"Apr 26, 2020","2,830.71","2,854.65","2,954.86","2,821.61","-","-0.21%"
"Apr 19, 2020","2,836.74","2,845.62","2,868.98","2,727.10","-","-1.32%"
"Apr 12, 2020","2,874.56","2,782.46","2,879.22","2,721.17","-","3.04%"
"Apr 05, 2020","2,789.82","2,578.28","2,818.57","2,574.57","-","12.10%"
"Mar 29, 2020","2,488.65","2,558.98","2,641.39","2,447.49","-","-2.08%"
"Mar 22, 2020","2,541.47","2,290.71","2,637.01","2,191.86","-","10.26%"
"Mar 15, 2020","2,304.92","2,508.59","2,562.98","2,280.52","-","-14.98%"
"Mar 08, 2020","2,711.02","2,863.89","2,882.59","2,478.86","-","-8.79%"
"Mar 01, 2020","2,972.37","2,974.28","3,136.72","2,901.54","-","0.61%"
"Feb 23, 2020","2,954.22","3,257.61","3,259.81","2,855.84","-","-11.49%"
"Feb 16, 2020","3,337.75","3,369.04","3,393.52","3,328.45","-","-1.25%"
"Feb 09, 2020","3,380.16","3,318.28","3,385.09","3,317.77","-","1.58%"
"Feb 02, 2020","3,327.71","3,235.66","3,347.96","3,235.66","-","3.17%"
"Jan 26, 2020","3,225.52","3,247.16","3,293.47","3,214.68","-","-2.12%"
"Jan 19, 2020","3,295.47","3,321.03","3,337.77","3,281.53","-","-1.03%"
"Jan 12, 2020","3,329.62","3,271.13","3,329.88","3,268.43","-","1.97%"
"Jan 05, 2020","3,265.35","3,217.55","3,282.99","3,214.64","-","0.94%"
"Dec 29, 2019","3,234.85","3,240.09","3,258.14","3,212.03","-","-0.16%"
"Dec 22, 2019","3,240.02","3,226.05","3,247.93","3,220.51","-","0.58%"
"Dec 15, 2019","3,221.22","3,183.63","3,225.65","3,183.63","-","1.65%"
"Dec 08, 2019","3,168.80","3,141.86","3,182.68","3,126.09","-","0.73%"
"Dec 01, 2019","3,145.91","3,143.85","3,150.60","3,070.33","-","0.16%"
"Nov 24, 2019","3,140.98","3,117.44","3,154.26","3,117.44","-","0.99%"
"Nov 17, 2019","3,110.29","3,117.91","3,127.64","3,091.41","-","-0.33%"
"Nov 10, 2019","3,120.46","3,080.33","3,120.46","3,075.82","-","0.89%"
"Nov 03, 2019","3,093.08","3,078.96","3,097.77","3,065.89","-","0.85%"
"Oct 27, 2019","3,066.91","3,032.12","3,066.95","3,023.19","-","1.47%"
"Oct 20, 2019","3,022.55","2,996.48","3,027.39","2,991.21","-","1.22%"
"Oct 13, 2019","2,986.20","2,965.81","3,008.29","2,962.94","-","0.54%"
"Oct 06, 2019","2,970.27","2,944.23","2,993.28","2,892.66","-","0.62%"
"Sep 29, 2019","2,952.01","2,967.07","2,992.53","2,855.94","-","-0.33%"
