"Date","Price","Open","High","Low","Vol.","Change %"
"Jan 03, 2021","13,201.98","12,958.52","13,208.09","12,543.24","6.52B","2.43%"
"Dec 27, 2020","12,888.28","12,914.64","12,973.33","12,821.23","3.82B","0.65%"
"Dec 20, 2020","12,804.73","12,596.14","12,841.92","12,525.22","4.04B","0.38%"
"Dec 13, 2020","12,755.64","12,447.44","12,809.60","12,432.71","6.71B","3.05%"
"Dec 06, 2020","12,377.87","12,461.00","12,607.14","12,214.74","4.75B","-0.69%"
"Nov 29, 2020","12,464.23","12,224.25","12,464.23","12,027.16","5.95B","2.12%"
"Nov 22, 2020","12,205.85","11,916.76","12,236.23","11,796.53","3.88B","2.96%"
"Nov 15, 2020","11,854.97","11,847.11","11,950.18","11,760.98","4.95B","0.22%"
"Nov 08, 2020","11,829.29","12,046.66","12,108.07","11,424.61","4.87B","-0.55%"
"Nov 01, 2020","11,895.23","11,010.45","11,924.28","10,830.94","4.00B","9.01%"
"Oct 25, 2020","10,911.59","11,440.64","11,545.63","10,822.57","3.83B","-5.51%"
"Oct 18, 2020","11,548.28","11,732.34","11,778.11","11,369.29","3.63B","-1.06%"
"Oct 11, 2020","11,671.66","11,732.33","11,965.54","11,559.10","3.66B","0.79%"
"Oct 04, 2020","11,580.05","11,169.10","11,581.23","11,124.45","4.00B","4.56%"
"Sep 27, 2020","11,075.11","11,084.38","11,344.13","11,019.14","4.28B","1.48%"
"Sep 20, 2020","10,913.73","10,610.14","10,979.65","10,519.49","4.57B","1.12%"
"Sep 13, 2020","10,793.28","11,010.14","11,245.42","10,639.95","5.98B","-0.56%"
"Sep 06, 2020","10,853.55","10,900.69","11,299.53","10,728.03","3.56B","-4.06%"
"Aug 30, 2020","11,313.13","11,718.81","12,074.07","10,875.87","4.73B","-3.27%"
"Aug 23, 2020","11,695.63","11,449.25","11,730.01","11,297.53","3.76B","3.39%"
"Aug 16, 2020","11,311.80","11,083.25","11,326.22","11,080.30","3.94B","2.65%"
"Aug 09, 2020","11,019.30","11,033.73","11,124.85","10,762.71","4.16B","0.08%"
"Aug 02, 2020","11,010.98","10,848.64","11,126.04","10,831.15","4.44B","2.47%"
"Jul 26, 2020","10,745.27","10,421.70","10,747.80","10,397.87","4.59B","3.69%"
"Jul 19, 2020","10,363.18","10,526.02","10,839.93","10,217.31","4.74B","-1.33%"
"Jul 12, 2020","10,503.19","10,729.92","10,824.78","10,182.46","4.92B","-1.08%"
"Jul 05, 2020","10,617.44","10,360.38","10,622.35","10,337.98","4.58B","4.01%"
"Jun 28, 2020","10,207.63","9,771.72","10,310.36","9,663.61","3.94B","4.62%"
"Jun 21, 2020","9,757.22","9,945.49","10,221.85","9,749.07","7.23B","-1.90%"
"Jun 14, 2020","9,946.12","9,426.90","10,053.91","9,403.00","6.59B","3.73%"
"Jun 07, 2020","9,588.81","9,823.44","10,086.89","9,413.62","5.87B","-2.30%"
"May 31, 2020","9,814.08","9,471.42","9,845.69","9,462.32","5.53B","3.42%"
"May 24, 2020","9,489.87","9,501.21","9,523.64","9,144.28","4.25B","1.77%"
"May 17, 2020","9,324.59","9,177.15","9,405.25","9,154.35","4.31B","3.44%"
"May 10, 2020","9,014.56","9,054.91","9,250.96","8,705.25","4.66B","-1.17%"
"May 03, 2020","9,121.32","8,555.32","9,125.98","8,537.83","4.08B","6.00%"
"Apr 26, 2020","8,604.95","8,717.98","8,957.26","8,566.84","4.69B","-0.34%"
"Apr 19, 2020","8,634.52","8,553.38","8,684.91","8,215.69","4.14B","-0.18%"
"Apr 12, 2020","8,650.14","8,127.69","8,670.30","8,035.95","4.39B","6.09%"
"Apr 05, 2020","8,153.57","7,660.17","8,227.91","7,617.79","3.75B","10.59%"
"Mar 29, 2020","7,373.08","7,583.46","7,880.31","7,288.11","4.68B","-1.72%"
