Date;Price;Open;High;Low;Vol.;Change %;;Price
May 17, 2020,;9,174.6;9,388.0;9,941.1;8,821.4;52.99K;-2.27%;;3,044.31
May 10, 2020,;9,388.0;9,537.7;9,937.8;8,107.4;98.21K;-1.57%;;2,955.45
May 03, 2020,;9,537.9;8,982.3;10,045.0;8,535.0;78.91K;6.19%;;2,863.70
Apr 26, 2020,;8,982.3;7,538.5;9,438.8;7,487.0;93.53K;19.15%;;2,929.80
Apr 19, 2020,;7,538.5;7,268.8;7,744.9;6,767.1;60.13K;3.71%;;2,830.71
Apr 12, 2020,;7,269.1;6,884.5;7,300.1;6,500.4;58.72K;5.59%;;2,836.74
Apr 05, 2020,;6,884.5;6,880.6;7,452.0;6,693.4;79.89K;0.04%;;2,874.56
Mar 29, 2020,;6,881.6;6,252.3;7,263.3;5,880.9;80.52K;10.12%;;2,789.82
Mar 22, 2020,;6,249.3;6,202.7;6,968.0;5,682.7;95.87K;0.77%;;2,488.65
Mar 15, 2020,;6,201.8;5,217.1;6,897.0;4,468.0;198.24K;18.85%;;2,541.47
Mar 08, 2020,;5,218.2;8,917.2;8,917.2;4,001.0;370.73K;-41.49%;;2,304.92
Mar 01, 2020,;8,919.0;8,561.5;9,231.1;8,460.0;31.93K;4.23%;;2,711.02
Feb 23, 2020,;8,557.3;9,663.0;10,022.0;8,455.2;59.56K;-11.44%;;2,972.37
Feb 16, 2020,;9,662.4;9,901.0;10,309.0;9,350.3;67.21K;-2.41%;;2,954.22
Feb 09, 2020,;9,901.0;9,877.3;10,489.0;9,720.0;52.55K;0.24%;;3,337.75
Feb 02, 2020,;9,877.2;9,408.0;9,920.7;9,112.5;43.64K;4.96%;;3,380.16
Jan 26, 2020,;9,410.6;8,351.1;9,550.0;8,303.6;42.11K;12.65%;;3,327.71
Jan 19, 2020,;8,353.7;8,891.6;9,169.5;8,247.7;35.28K;-6.05%;;3,225.52
Jan 12, 2020,;8,891.5;8,013.6;8,994.9;7,951.7;55.74K;10.95%;;3,295.47
Jan 05, 2020,;8,013.8;7,370.3;8,442.0;7,315.8;57.93K;8.74%;;3,329.62
Dec 29, 2019,;7,369.8;7,333.2;7,551.6;6,909.3;29.28K;0.48%;;3,265.35
Dec 22, 2019,;7,334.4;7,166.3;7,715.0;7,114.1;31.31K;2.34%;;3,234.85
Dec 15, 2019,;7,166.4;7,100.8;7,480.2;6,479.4;59.85K;0.92%;;3,240.02
Dec 08, 2019,;7,100.8;7,543.2;7,701.1;7,038.5;28.72K;-5.86%;;3,221.22
Dec 01, 2019,;7,543.2;7,599.9;7,887.7;7,134.1;41.19K;-0.75%;;3,168.80
Nov 24, 2019,;7,599.9;7,352.7;7,916.3;6,619.4;64.94K;3.36%;;3,145.91
Nov 17, 2019,;7,352.6;8,523.4;8,662.9;6,820.1;63.89K;-13.74%;;3,140.98
Nov 10, 2019,;8,523.5;8,827.1;9,156.9;8,420.2;26.69K;-3.45%;;3,110.29
Nov 03, 2019,;8,828.0;9,332.2;9,621.8;8,688.1;37.66K;-5.40%;;3,120.46
Oct 27, 2019,;9,332.1;9,270.9;9,948.0;8,984.8;45.88K;0.66%;;3,093.08
Oct 20, 2019,;9,270.9;7,993.0;10,464.1;7,341.5;77.95K;15.99%;;3,066.91
Oct 13, 2019,;7,992.9;8,319.6;8,477.4;7,860.0;30.36K;-3.91%;;3,022.55
Oct 06, 2019,;8,318.3;8,162.5;8,815.2;7,794.9;42.38K;1.91%;;2,986.20
Sep 29, 2019,;8,162.5;8,238.2;8,539.0;7,753.0;35.96K;-0.92%;;2,970.27
Sep 22, 2019,;8,238.6;10,012.0;10,105.0;7,800.1;85.94K;-17.72%;;2,952.01
Sep 15, 2019,;10,013.0;10,381.0;10,417.0;9,655.0;28.32K;-3.53%;;2,961.79
Sep 08, 2019,;10,379.0;10,489.0;10,599.0;9,866.5;30.68K;-1.04%;;2,992.07
Sep 01, 2019,;10,488.0;9,623.9;10,933.0;9,560.1;56.65K;8.98%;;3,007.39
Aug 25, 2019,;9,623.9;10,162.0;10,654.0;9,360.4;43.28K;-5.20%;;2,978.71
Aug 18, 2019,;10,152.0;10,230.0;10,986.0;9,790.0;48.04K;-0.74%;;2,926.46
Aug 11, 2019,;10,228.0;11,308.0;11,579.0;9,522.5;74.58K;-9.60%;;2,847.11
Aug 04, 2019,;11,314.0;10,822.0;12,307.0;10,595.0;84.56K;4.55%;;2,888.68
Jul 28, 2019,;10,822.0;9,463.1;10,910.0;9,112.3;51.75K;14.33%;;2,918.65
Jul 21, 2019,;9,465.7;10,741.0;10,811.0;9,300.3;60.17K;-11.86%;;2,932.05
Jul 14, 2019,;10,740.0;11,324.0;11,390.0;9,111.0;148.04K;-5.06%;;3,025.86
Jul 07, 2019,;11,312.0;11,276.0;13,173.0;10,806.0;126.70K;0.26%;;2,976.61
Jun 30, 2019,;11,283.0;11,973.0;12,229.0;9,745.1;153.59K;-5.35%;;3,013.77
Jun 23, 2019,;11,921.0;10,745.0;13,764.0;10,397.0;220.96K;10.91%;;2,990.41
Jun 16, 2019,;10,747.9;8,852.8;11,210.0;8,803.0;107.90K;21.36%;;2,941.76
Jun 09, 2019,;8,856.0;7,924.0;8,904.1;7,502.5;64.50K;11.75%;;2,950.46
Jun 02, 2019,;7,924.6;8,546.9;8,813.0;7,461.0;97.98K;-7.28%;;2,886.98
May 26, 2019,;8,547.0;8,054.9;9,100.0;7,897.1;100.95K;6.11%;;2,873.34
May 19, 2019,;8,054.9;7,260.1;8,263.2;7,252.0;90.82K;10.95%;;2,752.06
May 12, 2019,;7,260.0;7,125.1;8,307.7;6,860.0;197.17K;1.73%;;2,826.06
May 05, 2019,;7,136.4;6,098.2;7,278.3;5,926.6;70.78K;17.02%;;2,859.53
Apr 28, 2019,;6,098.3;5,400.6;6,149.1;5,370.3;77.19K;12.89%;;2,881.40
Apr 21, 2019,;5,401.8;5,340.1;5,647.4;5,142.7;114.48K;1.16%;;2,945.64
Apr 14, 2019,;5,340.0;5,103.7;5,375.6;5,000.7;53.17K;4.67%;;2,939.88
Apr 07, 2019,;5,101.8;5,091.1;5,487.4;4,935.2;91.56K;0.22%;;2,905.03
Mar 31, 2019,;5,090.5;4,165.1;5,330.1;4,127.2;145.80K;22.22%;;2,907.41
