"Date","Price","Open","High","Low","Vol.","Change %"
"Aug 23, 2020","2,001.30","1,958.30","1,992.00","1,958.30","0.01K","1.05%"
"Aug 16, 2020","1,980.60","2,005.50","2,005.50","1,968.20","0.00K","-0.36%"
"Aug 09, 2020","1,987.80","2,063.70","2,063.70","1,964.00","0.02K","-4.11%"
"Aug 02, 2020","2,073.00","2,098.50","2,121.70","2,090.50","0.01K","2.27%"
"Jul 26, 2020","2,026.90","1,964.80","2,035.00","1,964.80","0.00K","3.11%"
"Jul 19, 2020","1,965.70","1,862.00","1,961.00","1,862.00","1.18K","5.63%"
"Jul 12, 2020","1,861.00","1,857.30","1,863.90","1,850.00","0.29K","0.16%"
"Jul 05, 2020","1,858.10","1,833.90","1,871.90","1,833.90","2.54K","1.63%"
"Jun 28, 2020","1,828.30","1,816.50","1,838.00","1,811.20","0.75K","0.77%"
"Jun 21, 2020","1,814.40","1,803.00","1,814.00","1,798.00","0.77K","1.60%"
"Jun 14, 2020","1,785.80","1,770.30","1,786.90","1,760.00","0.84K","0.79%"
"Jun 07, 2020","1,771.80","1,739.40","1,786.40","1,739.40","0.00K","3.01%"
"May 31, 2020","1,720.00","1,774.50","1,775.30","1,727.50","0.89K","-3.20%"
"May 24, 2020","1,776.80","1,762.90","1,764.00","1,722.50","0.37K","0.11%"
"May 17, 2020","1,774.90","1,795.40","1,795.40","1,771.90","0.84K","-0.87%"
"May 10, 2020","1,790.40","1,729.10","1,750.30","1,729.10","0.06K","2.29%"
"May 03, 2020","1,750.30","1,729.10","1,729.10","1,725.70","0.09K","1.70%"
"Apr 26, 2020","1,721.10","1,727.60","1,744.10","1,720.10","0.01K","-1.59%"
"Apr 19, 2020","1,748.90","1,715.60","1,762.20","1,709.50","0.01K","2.34%"
"Apr 12, 2020","1,708.90","1,779.10","1,779.10","1,717.80","0.03K","-2.83%"
"Apr 05, 2020","1,758.70","1,747.50","1,747.50","1,747.50","0.03K","6.32%"
"Mar 29, 2020","1,654.10","1,665.70","1,672.50","1,577.70","15.92K","-0.42%"
"Mar 22, 2020","1,661.00","1,520.00","1,695.00","1,498.90","0.04K","10.63%"
"Mar 15, 2020","1,501.40","1,485.00","1,503.00","1,485.00","0.01K","-2.01%"
"Mar 08, 2020","1,532.20","1,700.00","1,712.10","1,514.30","16.97K","-9.42%"
"Mar 01, 2020","1,691.60","1,609.10","1,703.60","1,593.90","16.29K","5.95%"
"Feb 23, 2020","1,596.60","1,673.30","1,711.80","1,582.00","0.05K","-5.32%"
"Feb 16, 2020","1,686.30","1,605.00","1,671.20","1,603.50","6.19K","3.83%"
"Feb 09, 2020","1,624.10","1,599.50","1,608.40","1,587.10","8.85K","0.70%"
"Feb 02, 2020","1,612.80","1,618.80","1,619.60","1,573.00","7.05K","-0.82%"
"Jan 26, 2020","1,626.10","1,610.00","1,615.30","1,589.30","21.65K","0.66%"
"Jan 19, 2020","1,615.40","1,595.00","1,595.00","1,595.00","0.00K","0.75%"
"Jan 12, 2020","1,603.40","1,586.80","1,588.00","1,563.40","9.95K","0.01%"
"Jan 05, 2020","1,603.30","1,590.20","1,637.90","1,570.20","12.84K","0.43%"
"Dec 29, 2019","1,596.40","1,543.90","1,583.60","1,540.10","7.49K","2.25%"
"Dec 22, 2019","1,561.20","1,510.70","1,545.00","1,510.70","2.15K","2.50%"
